Features,Accuracy,Precision,Recall,F1-score,CV_Accuracy,CV_Accuracy_std,Model
"['FPG', 'HbA1c', 'SEX']",0.7483333333333333,0.7479191210740945,0.7483333333333333,0.7480654498198358,0.7339915826407203,0.01145049564831424,XGB
"['FPG', 'HbA1c', 'Drinking']",0.745,0.7513902559519096,0.745,0.7474155785815978,0.7591120091041044,0.016450300144742688,RF
"['FPG', 'HbA1c', 'SEX']",0.7416666666666667,0.7487502618897968,0.7416666666666667,0.7444940802169717,0.7595209139236615,0.019302328441580408,RF
"['FPG', 'HbA1c', 'Triglyceride']",0.7383333333333333,0.7370459401709402,0.7383333333333333,0.7375116713352007,0.734322469586734,0.01395765070605538,XGB
"['FPG', 'HbA1c', 'Family history']",0.7383333333333333,0.7378680219752314,0.7383333333333333,0.7378241894734201,0.7310536842320456,0.013718721627016902,XGB
"['FPG', 'HbA1c', 'Physical activity']",0.7366666666666667,0.7360792622987674,0.7366666666666667,0.7360422651090606,0.7341086321658666,0.015137242273594488,XGB
"['FPG', 'HbA1c', 'Smoking']",0.7366666666666667,0.7357661080078217,0.7366666666666667,0.7360568574557182,0.7340306710794011,0.014097611196821928,XGB
"['FPG', 'HbA1c', 'Smoking']",0.735,0.74889250296997,0.735,0.7398691093932014,0.756271383174216,0.018770414969842532,RF
"['FPG', 'HbA1c', 'r-GTP gamma']",0.735,0.7346123349450089,0.735,0.7347470809459115,0.7362295159545189,0.01351641547595362,XGB
"['FPG', 'HbA1c', 'Family history']",0.7333333333333333,0.7455700091061334,0.7333333333333333,0.7378409401482667,0.7554737064471506,0.020203831982855552,RF
"['FPG', 'HbA1c', 'Drinking']",0.7333333333333333,0.7322566148857228,0.7333333333333333,0.7323883797966994,0.7351202068866824,0.01213636027315977,XGB
"['FPG', 'HbA1c', 'r-GTP gamma']",0.7316666666666667,0.7380809017837526,0.7316666666666667,0.7343689416316046,0.762595033175011,0.016147177423939674,RF
"['FPG', 'HbA1c', 'Uric acid']",0.7283333333333334,0.7407159833630423,0.7283333333333334,0.7328571762951372,0.7668758361897233,0.01703432866987303,RF
"['FPG', 'HbA1c', 'Physical activity']",0.7283333333333334,0.7357077618686878,0.7283333333333334,0.7313732898352174,0.7585285370210105,0.018734753563396184,RF
"['FPG', 'Physical activity', 'AGE']",0.7283333333333334,0.7303691471669829,0.7283333333333334,0.7288638897334551,0.6785194700175585,0.04654228098702559,XGB
"['FPG', 'HbA1c', 'BMI']",0.7266666666666667,0.7263405733180435,0.7266666666666667,0.726233908592211,0.7371049834068157,0.013178993596638813,XGB
"['FPG', 'HbA1c', 'Triglyceride']",0.725,0.7301427799706899,0.725,0.7271959003056158,0.7637236082055056,0.015468856860087338,RF
"['FPG', 'HbA1c', 'AGE']",0.725,0.7363441384578715,0.725,0.7293168323067191,0.7211128980111651,0.04346888696104207,RF
"['FPG', 'HbA1c', 'Uric acid']",0.7233333333333334,0.7239316239316239,0.7233333333333334,0.7234125758979107,0.7357039477619455,0.012954806956706007,XGB
"['FPG', 'SEX', 'AGE']",0.7233333333333334,0.7221152270804703,0.7233333333333334,0.7223817202350645,0.6688096368428506,0.04409233871522073,XGB
