0,1,2,3
0.65,0.34,0.32,0.67
0.65,0.34,0.32,0.67
0.65,0.34,0.32,0.67
0.7,0.3,0.3,0.7
0.56,0.43,0.17,0.83
0.6,0.4,0.31,0.68
0.56,0.43,0.17,0.83
0.68,0.32,0.26,0.73
0.56,0.43,0.17,0.83
0.49,0.5,0.47,0.53
0.56,0.43,0.17,0.83
0.64,0.35,0.31,0.69
0.56,0.43,0.17,0.83
0.59,0.4,0.28,0.71
0.56,0.43,0.17,0.83
0.47,0.53,0.41,0.58
0.56,0.43,0.17,0.83
0.5,0.49,0.44,0.55
0.56,0.43,0.17,0.83
0.66,0.34,0.31,0.68
0.56,0.43,0.17,0.83
0.67,0.33,0.27,0.72
0.56,0.43,0.17,0.83
0.66,0.34,0.3,0.69
0.56,0.43,0.17,0.83
0.59,0.4,0.3,0.7
0.56,0.43,0.17,0.83
0.59,0.4,0.3,0.69
0.56,0.43,0.17,0.83
0.61,0.39,0.31,0.68
0.56,0.43,0.17,0.83
0.63,0.37,0.28,0.71
0.56,0.43,0.17,0.83
0.65,0.35,0.28,0.71
0.56,0.43,0.17,0.83
0.6,0.39,0.28,0.71
0.56,0.43,0.17,0.83
0.5,0.49,0.4,0.59
0.56,0.43,0.17,0.83
0.6,0.39,0.29,0.7
0.56,0.43,0.17,0.83
0.66,0.33,0.31,0.68
0.56,0.43,0.17,0.83
0.68,0.32,0.27,0.72
0.56,0.43,0.17,0.83
0.67,0.32,0.29,0.71
0.56,0.43,0.17,0.83
0.64,0.36,0.32,0.68
0.56,0.43,0.17,0.83
0.67,0.32,0.28,0.72
0.56,0.43,0.17,0.83
0.57,0.42,0.3,0.69
0.56,0.43,0.17,0.83
0.48,0.52,0.39,0.6
0.56,0.43,0.17,0.83
0.66,0.33,0.32,0.68
0.56,0.43,0.17,0.83
0.65,0.34,0.27,0.72
0.56,0.43,0.17,0.83
0.61,0.38,0.3,0.69
0.56,0.43,0.17,0.83
0.59,0.41,0.3,0.69
0.56,0.43,0.17,0.83
0.62,0.38,0.32,0.67
0.56,0.43,0.17,0.83
0.53,0.46,0.3,0.69
0.56,0.43,0.17,0.83
0.65,0.35,0.25,0.74
0.56,0.43,0.17,0.83
0.67,0.33,0.26,0.73
0.56,0.43,0.17,0.83
0.61,0.39,0.3,0.69
0.56,0.43,0.17,0.83
0.59,0.4,0.29,0.7
0.56,0.43,0.17,0.83
0.7,0.29,0.27,0.73
0.56,0.43,0.17,0.83
0.69,0.31,0.3,0.69
0.56,0.43,0.17,0.83
0.66,0.34,0.31,0.68
0.56,0.43,0.17,0.83
0.67,0.33,0.24,0.75
0.56,0.43,0.17,0.83
0.67,0.33,0.26,0.73
0.56,0.43,0.17,0.83
0.6,0.4,0.32,0.67
0.56,0.43,0.17,0.83
0.54,0.46,0.32,0.67
0.56,0.43,0.17,0.83
0.65,0.34,0.27,0.72
0.56,0.43,0.17,0.83
0.56,0.44,0.29,0.7
0.56,0.43,0.17,0.83
0.64,0.36,0.28,0.71
0.56,0.43,0.17,0.83
0.47,0.53,0.42,0.57
0.56,0.43,0.17,0.83
0.42,0.57,0.39,0.6
0.56,0.43,0.17,0.83
0.58,0.42,0.29,0.7
0.56,0.43,0.17,0.83
0.68,0.32,0.26,0.73
0.56,0.43,0.17,0.83
