0,1,2,3
0.71,0.29,0.01,0.98
0.71,0.29,0.01,0.98
0.71,0.29,0.01,0.98
0.59,0.4,0.02,0.97
0.7,0.29,0.01,0.98
0.67,0.32,0.01,0.98
0.73,0.27,0.01,0.98
0.67,0.32,0.02,0.98
0.64,0.36,0.01,0.99
0.65,0.35,0.02,0.98
0.6,0.39,0.02,0.98
0.04,0.96,0.01,0.98
0.61,0.39,0.01,0.98
0.68,0.32,0.02,0.97
0.65,0.35,0.01,0.98
0.6,0.39,0.02,0.97
0.61,0.39,0.02,0.97
0.64,0.36,0.01,0.98
0.63,0.36,0.01,0.98
0.74,0.25,0.01,0.98
0.72,0.27,0.01,0.98
0.73,0.27,0.03,0.96
0.73,0.27,0.01,0.98
0.63,0.37,0.0,0.99
0.64,0.36,0.03,0.96
0.11,0.88,0.03,0.96
0.73,0.27,0.01,0.98
0.67,0.33,0.02,0.97
0.64,0.36,0.01,0.98
0.72,0.28,0.01,0.98
0.71,0.28,0.01,0.98
0.69,0.31,0.01,0.98
0.74,0.25,0.02,0.97
0.67,0.32,0.0,0.99
0.74,0.26,0.01,0.98
0.65,0.34,0.02,0.98
0.75,0.25,0.02,0.97
0.7,0.29,0.02,0.97
0.68,0.32,0.02,0.97
0.09,0.9,0.02,0.97
0.71,0.28,0.01,0.98
0.1,0.89,0.02,0.97
0.64,0.35,0.02,0.97
0.72,0.27,0.01,0.99
0.66,0.34,0.02,0.97
0.65,0.34,0.02,0.98
0.73,0.27,0.02,0.97
0.71,0.29,0.01,0.99
0.62,0.37,0.02,0.97
0.64,0.35,0.01,0.98
0.08,0.92,0.02,0.98
0.09,0.9,0.02,0.97
0.64,0.35,0.03,0.96
0.81,0.19,0.08,0.92
0.87,0.12,0.06,0.93
0.87,0.13,0.06,0.93
0.87,0.13,0.06,0.93
0.82,0.18,0.05,0.94
0.82,0.17,0.06,0.93
0.8,0.2,0.07,0.92
0.8,0.2,0.08,0.92
0.3,0.7,0.11,0.88
0.8,0.2,0.06,0.93
0.87,0.12,0.06,0.93
0.8,0.19,0.07,0.92
0.81,0.18,0.07,0.92
0.81,0.18,0.06,0.94
0.8,0.2,0.06,0.93
0.82,0.17,0.06,0.93
0.87,0.13,0.06,0.93
0.87,0.13,0.06,0.94
0.87,0.13,0.06,0.93
0.87,0.13,0.06,0.93
0.79,0.2,0.06,0.94
0.8,0.2,0.07,0.92
0.3,0.7,0.11,0.88
0.87,0.12,0.06,0.93
0.83,0.16,0.05,0.94
0.8,0.19,0.07,0.93
0.87,0.12,0.06,0.93
0.87,0.13,0.06,0.93
0.86,0.13,0.06,0.93
0.87,0.13,0.06,0.93
0.87,0.12,0.06,0.93
0.87,0.13,0.06,0.93
0.87,0.12,0.06,0.93
0.87,0.13,0.06,0.93
0.87,0.13,0.06,0.93
0.82,0.17,0.06,0.93
0.46,0.53,0.11,0.89
0.87,0.12,0.06,0.93
0.49,0.5,0.11,0.89
0.8,0.2,0.07,0.92
0.87,0.12,0.06,0.93
0.81,0.18,0.05,0.94
0.8,0.2,0.05,0.95
0.87,0.13,0.06,0.93
0.87,0.12,0.06,0.93
0.82,0.18,0.05,0.94
0.82,0.18,0.05,0.94
0.43,0.56,0.09,0.9
0.46,0.53,0.09,0.91
0.8,0.2,0.07,0.93
