0,1,2,3
0.74,0.25,0.17,0.82
0.74,0.25,0.17,0.82
0.74,0.25,0.17,0.82
0.72,0.28,0.16,0.84
0.71,0.29,0.16,0.84
0.72,0.28,0.17,0.82
0.71,0.28,0.16,0.83
0.73,0.27,0.16,0.83
0.67,0.33,0.2,0.79
0.74,0.25,0.16,0.83
0.61,0.38,0.22,0.77
0.69,0.3,0.17,0.83
0.7,0.29,0.17,0.82
0.56,0.44,0.23,0.76
0.67,0.33,0.23,0.77
0.71,0.28,0.17,0.82
0.65,0.35,0.21,0.78
0.73,0.26,0.15,0.84
0.7,0.3,0.2,0.79
0.73,0.27,0.15,0.84
0.64,0.36,0.24,0.75
0.73,0.26,0.15,0.84
0.74,0.25,0.16,0.84
0.71,0.28,0.16,0.83
0.76,0.24,0.17,0.82
0.73,0.27,0.18,0.82
0.73,0.26,0.16,0.84
0.71,0.29,0.17,0.82
0.57,0.43,0.23,0.76
0.73,0.26,0.19,0.81
0.52,0.48,0.22,0.77
0.67,0.32,0.18,0.82
0.73,0.27,0.18,0.82
0.72,0.28,0.17,0.82
0.69,0.31,0.21,0.78
0.71,0.29,0.18,0.81
0.76,0.23,0.15,0.84
0.73,0.27,0.16,0.83
0.66,0.34,0.2,0.8
0.63,0.37,0.22,0.77
0.7,0.3,0.16,0.83
0.77,0.22,0.15,0.84
0.71,0.29,0.22,0.77
0.66,0.34,0.18,0.81
0.75,0.25,0.16,0.83
0.76,0.23,0.17,0.82
0.69,0.31,0.17,0.82
0.59,0.4,0.25,0.74
0.74,0.25,0.15,0.85
0.69,0.3,0.17,0.83
0.71,0.28,0.16,0.83
0.74,0.25,0.17,0.82
0.76,0.24,0.15,0.84
0.76,0.24,0.15,0.84
0.73,0.26,0.15,0.85
0.72,0.27,0.14,0.85
0.74,0.25,0.15,0.84
0.72,0.28,0.14,0.85
0.68,0.32,0.16,0.83
0.72,0.28,0.15,0.84
0.57,0.43,0.12,0.88
0.74,0.25,0.15,0.85
0.71,0.29,0.15,0.84
0.48,0.51,0.14,0.86
0.58,0.41,0.13,0.86
0.71,0.28,0.15,0.85
0.57,0.42,0.13,0.87
0.73,0.26,0.14,0.85
0.67,0.32,0.15,0.84
0.73,0.26,0.15,0.84
0.6,0.4,0.13,0.86
0.73,0.27,0.14,0.85
0.73,0.27,0.15,0.84
0.74,0.25,0.15,0.84
0.72,0.28,0.14,0.86
0.74,0.25,0.15,0.84
0.72,0.27,0.14,0.86
0.71,0.29,0.15,0.84
0.53,0.46,0.13,0.87
0.67,0.32,0.15,0.84
0.47,0.52,0.14,0.85
0.73,0.26,0.14,0.85
0.74,0.25,0.15,0.84
0.72,0.27,0.13,0.86
0.68,0.32,0.16,0.84
0.71,0.29,0.14,0.85
0.72,0.27,0.15,0.84
0.72,0.28,0.14,0.85
0.67,0.32,0.15,0.84
0.57,0.43,0.13,0.86
0.71,0.29,0.14,0.85
0.73,0.26,0.15,0.85
0.65,0.34,0.16,0.84
0.68,0.31,0.16,0.83
0.72,0.28,0.13,0.86
0.72,0.27,0.15,0.84
0.74,0.25,0.14,0.85
0.53,0.47,0.13,0.87
0.76,0.24,0.14,0.86
0.76,0.24,0.14,0.85
0.73,0.27,0.15,0.84
0.73,0.26,0.15,0.85
0.72,0.27,0.14,0.85
