Features,Accuracy,Precision,Recall,F1-score,CV_Accuracy,CV_Accuracy_std,Model
"['FPG', 'HbA1c']",0.7383333333333333,0.736858813700919,0.7383333333333333,0.7373191578069628,0.7314234211110127,0.013011310263984926,XGB
"['FPG', 'HbA1c']",0.7283333333333334,0.7237398843663294,0.7283333333333334,0.7250602837673531,0.7182892741324258,0.011718487066544455,SVM
"['FPG', 'BMI']",0.7283333333333334,0.7291420787056027,0.7283333333333334,0.7281064130375328,0.7098832798399057,0.011764059838674028,XGB
"['FPG', 'HbA1c']",0.725,0.7374275363144577,0.725,0.7295823824350521,0.7580033209083207,0.021614028895765292,RF
"['FPG', 'SEX']",0.7233333333333334,0.7211364981940606,0.7233333333333334,0.7221313260831891,0.6999400782753084,0.008663809218846387,RF
"['FPG', 'r-GTP gamma']",0.7216666666666667,0.7319856366654018,0.7216666666666667,0.7255615371782033,0.7427867842083465,0.014432783066979732,RF
"['FPG', 'Smoking']",0.7216666666666667,0.7221680200379752,0.7216666666666667,0.7207884314267293,0.6980917838184085,0.012044703114116172,RF
"['FPG', 'Smoking']",0.72,0.7200109458181998,0.72,0.7199965086846469,0.6783797094470225,0.051115065381051,SVM
"['FPG', 'Smoking']",0.7166666666666667,0.7172074792375545,0.7166666666666667,0.7167557993561523,0.6975081224450548,0.01031708400044556,XGB
"['FPG', 'r-GTP gamma']",0.715,0.7129545630533928,0.715,0.7138378597278678,0.7111286999620662,0.011510968344461529,XGB
"['FPG', 'AGE']",0.715,0.7144708905574809,0.715,0.7144219755176758,0.6863017339744972,0.03204108438895613,SVM
"['FPG', 'BMI']",0.7133333333333334,0.7109605917116472,0.7133333333333334,0.7114168627504012,0.6977023872530423,0.007190293760786177,SVM
"['FPG', 'AGE']",0.7133333333333334,0.7154208397455795,0.7133333333333334,0.7140140601686521,0.6639455056056418,0.04494052130671629,XGB
"['FPG', 'SEX']",0.71,0.7079908103592315,0.71,0.7087273295809882,0.6964960025682903,0.007448599369058865,XGB
"['FPG', 'AGE']",0.7083333333333334,0.7162990273313585,0.7083333333333334,0.7111933112567227,0.6880928665586955,0.04387415937369663,RF
"['FPG', 'Drinking']",0.7033333333333334,0.7040348879309156,0.7033333333333334,0.7034203391400956,0.7016525721139103,0.009052822446310194,XGB
"['FPG', 'Family history']",0.7033333333333334,0.6968557334759112,0.7033333333333334,0.6993110048070558,0.6969436172460084,0.008477264879308263,RF
"['FPG', 'Physical activity']",0.7033333333333334,0.7060921717171716,0.7033333333333334,0.7044948068699229,0.7041238700317932,0.011985242589680305,RF
"['FPG', 'Drinking']",0.7033333333333334,0.7072941898176339,0.7033333333333334,0.7050021336462835,0.7117901217742102,0.0098426765654633,RF
"['FPG', 'Physical activity']",0.7,0.6988293149686254,0.7,0.6992643448165392,0.6988117758227881,0.010267158625708076,XGB
