features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
0.0,0.6983333333333334,0.6983541000678098,0.6983333333333334,0.6973464409706126,0.6303552296734439,0.05587707453732094
1.0,0.6283333333333333,0.6211968920747737,0.6283333333333333,0.6237097366384705,0.6295609942433047,0.01249356257082078
2.0,0.4683333333333333,0.46824721981954687,0.4683333333333333,0.4396638844515998,0.4598097292164973,0.007070837863922461
3.0,0.4666666666666667,0.4490182689427973,0.4666666666666667,0.44914576986960936,0.4751822373048702,0.010442547588665056
4.0,0.4666666666666667,0.4883325265077341,0.4666666666666667,0.4304027988657518,0.45901195784430193,0.007521804780192681
5.0,0.33666666666666667,0.23348098929494274,0.33666666666666667,0.23198783014661525,0.3982842125108747,0.010468509137576534
6.0,0.3333333333333333,0.23166967561586393,0.3333333333333333,0.25577069959711507,0.33533779604050207,0.029629036752534043
7.0,0.38666666666666666,0.3835870530548402,0.38666666666666666,0.3581657008505299,0.40591085715929837,0.009211466907005266
8.0,0.3566666666666667,0.37015055837384625,0.3566666666666667,0.2694912209913053,0.3377116586899751,0.006418520977764452
9.0,0.31666666666666665,0.2082825161937285,0.31666666666666665,0.2190609125732168,0.3219310938024097,0.005858298296316146
10.0,0.205,0.12112266290163864,0.205,0.14508145785441445,0.22255945417774958,0.004280216607953911
11.0,0.4266666666666667,0.40542624512090164,0.4266666666666667,0.3934639625553293,0.40986117830915336,0.0381914202947283
