Features,Accuracy,Precision,Recall,F1-score,CV_Accuracy,CV_Accuracy_std,Model
"['FPG', 'HbA1c', 'Family history', 'SEX']",0.76,0.7576890064491134,0.76,0.7586198559226897,0.7042782400245926,0.04979306550907989,SVM
"['FPG', 'HbA1c', 'Uric acid', 'SEX']",0.755,0.7523010172311617,0.755,0.7533824125418646,0.7219080155339158,0.009432569470669177,SVM
"['FPG', 'HbA1c', 'Smoking', 'SEX']",0.7533333333333333,0.751046130535197,0.7533333333333333,0.752043765151804,0.7200597210770161,0.0110654619244361,SVM
"['FPG', 'HbA1c', 'SEX', 'AGE']",0.7516666666666667,0.7491260594414899,0.7516666666666667,0.7501264126273671,0.7153521177415704,0.02948847002473243,SVM
"['FPG', 'HbA1c', 'BMI', 'AGE']",0.75,0.7467265215318607,0.75,0.7473565303431802,0.7147878624056673,0.028495925659496532,SVM
"['FPG', 'HbA1c', 'Smoking', 'SEX']",0.75,0.7498823159356154,0.75,0.7497948750650979,0.7369881648157866,0.013479620363348776,XGB
"['FPG', 'HbA1c', 'Family history', 'SEX']",0.7483333333333333,0.7481502162500775,0.7483333333333333,0.7481589500303761,0.7342446637182816,0.011740269511560698,XGB
"['FPG', 'HbA1c', 'Drinking', 'SEX']",0.7483333333333333,0.7564925837723291,0.7483333333333333,0.7514084893977625,0.7598320730387825,0.017802955698413992,RF
"['FPG', 'HbA1c', 'Physical activity', 'SEX']",0.7466666666666667,0.7477776494025299,0.7466666666666667,0.7471775566055994,0.7368909566956886,0.014829501034876662,XGB
"['FPG', 'HbA1c', 'SEX', 'AGE']",0.745,0.7446732807832979,0.745,0.7446514466081279,0.7004092038981679,0.03818228874101658,XGB
"['FPG', 'HbA1c', 'Drinking', 'SEX']",0.745,0.7424445847151669,0.745,0.7435047028765022,0.7225695925640728,0.008775419797693355,SVM
"['FPG', 'HbA1c', 'Drinking', 'SEX']",0.7433333333333333,0.743564470290605,0.7433333333333333,0.7433667117502781,0.7375523179349492,0.012216883934146614,XGB
"['FPG', 'HbA1c', 'BMI', 'Smoking']",0.7433333333333333,0.7396346391880572,0.7433333333333333,0.74074278575516,0.7224529254052515,0.009066707853771123,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'SEX']",0.7433333333333333,0.7427396407489126,0.7433333333333333,0.742844749596626,0.7369103816621653,0.01328805922377992,XGB
"['FPG', 'HbA1c', 'Smoking', 'Drinking']",0.7433333333333333,0.7566716932761857,0.7433333333333333,0.7478363697796205,0.7615054292232359,0.01700486901049881,RF
"['FPG', 'HbA1c', 'Uric acid', 'SEX']",0.7433333333333333,0.7544924326319674,0.7433333333333333,0.7472026643157997,0.7686270247432657,0.017035377033046296,RF
"['FPG', 'HbA1c', 'Smoking', 'AGE']",0.7416666666666667,0.7408489658489659,0.7416666666666667,0.7410183487538905,0.7008373746803833,0.03883498280278229,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'SEX']",0.7416666666666667,0.739066997845833,0.7416666666666667,0.7401901021777842,0.7236203730835309,0.009736284840521305,SVM
"['FPG', 'HbA1c', 'r-GTP gamma', 'Drinking']",0.7416666666666667,0.7415544734843165,0.7416666666666667,0.7414279459308889,0.7384476305780999,0.01354061110738602,XGB
"['FPG', 'HbA1c', 'BMI', 'Family history']",0.74,0.7362563543936093,0.74,0.7371763137852247,0.7203320756888462,0.009618714739062536,SVM
