Features,Accuracy,Precision,Recall,F1-score,CV_Accuracy,CV_Accuracy_std,Model
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'Uric acid', 'SEX', 'AGE']",0.7483333333333333,0.7470771645916314,0.7483333333333333,0.7474757429281907,0.7105467308436364,0.03933899340847885,XGB
"['FPG', 'HbA1c', 'Smoking', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.7466666666666667,0.7441885578349262,0.7466666666666667,0.7450940387210524,0.7049428911285711,0.03948922086589677,XGB
"['FPG', 'HbA1c', 'BMI', 'Uric acid', 'Smoking', 'SEX', 'AGE']",0.7466666666666667,0.7451884232236946,0.7466666666666667,0.7456973634569167,0.7102549323363035,0.04008815650362485,XGB
"['FPG', 'HbA1c', 'Smoking', 'Drinking', 'Physical activity', 'Family history', 'SEX']",0.7466666666666667,0.7444802988634285,0.7466666666666667,0.7453935521552567,0.7290882266758436,0.011308266535695591,SVM
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Uric acid', 'SEX', 'AGE']",0.7466666666666667,0.7550264550264549,0.7466666666666667,0.7497646555412923,0.7501240570505701,0.03754765652690783,RF
"['FPG', 'HbA1c', 'BMI', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.745,0.7434332606133554,0.745,0.7438753161244858,0.7062271195398279,0.03834400505107658,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'Physical activity', 'SEX', 'AGE']",0.745,0.7433463727776524,0.745,0.7438307094740397,0.7071026854230601,0.03827915340903036,XGB
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Uric acid', 'SEX', 'AGE']",0.7433333333333333,0.7413619732027692,0.7433333333333333,0.7420355208494741,0.7086010276189632,0.0400370399000234,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'SEX', 'AGE']",0.7416666666666667,0.7401725520945994,0.7416666666666667,0.7407593666054656,0.6941998359989187,0.07137366232855176,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'SEX', 'AGE']",0.7416666666666667,0.7400242878773002,0.7416666666666667,0.7406409381490859,0.7100213065116605,0.03809579345859528,XGB
"['FPG', 'HbA1c', 'BMI', 'Uric acid', 'Smoking', 'SEX', 'AGE']",0.7416666666666667,0.7517028554212862,0.7416666666666667,0.7453520594082842,0.7459990323481911,0.03837538430133002,RF
"['FPG', 'HbA1c', 'BMI', 'Uric acid', 'Smoking', 'SEX', 'AGE']",0.7416666666666667,0.7385009984163052,0.7416666666666667,0.7397711306349771,0.7195160378065651,0.02833394165666145,SVM
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Uric acid', 'SEX', 'AGE']",0.74,0.738138549419097,0.74,0.7388814133479553,0.7183875309205641,0.028270343030798895,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'Smoking', 'Physical activity', 'SEX', 'AGE']",0.74,0.7371861728870489,0.74,0.7382762230134475,0.7191270160359138,0.03049046711032216,SVM
"['FPG', 'HbA1c', 'BMI', 'Smoking', 'Physical activity', 'SEX', 'AGE']",0.74,0.738336258849687,0.74,0.7388281867328834,0.7092819652569087,0.040641018403870494,XGB
"['FPG', 'HbA1c', 'BMI', 'Smoking', 'Physical activity', 'SEX', 'AGE']",0.74,0.7472790757910672,0.74,0.7428577106431213,0.7431387467319037,0.038553536631901496,RF
"['FPG', 'HbA1c', 'Triglyceride', 'Smoking', 'Physical activity', 'SEX', 'AGE']",0.74,0.7395558761803731,0.74,0.7395497260296886,0.7052541486746274,0.03948171906078908,XGB
"['FPG', 'HbA1c', 'Smoking', 'Drinking', 'Physical activity', 'Family history', 'SEX']",0.7383333333333333,0.738360355545146,0.7383333333333333,0.7382368629220014,0.7391482203308339,0.01523205241422256,XGB
"['FPG', 'HbA1c', 'BMI', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.7383333333333333,0.7350907309042221,0.7383333333333333,0.7362832505225947,0.7195161173084742,0.029204827863208375,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'Physical activity', 'SEX', 'AGE']",0.7383333333333333,0.7353343077063209,0.7383333333333333,0.7365233191120935,0.7197106244079947,0.028705193805017543,SVM
