Features,Accuracy,Precision,Recall,F1-score,CV_Accuracy,CV_Accuracy_std,Model
"['FPG', 'HbA1c', 'Physical activity', 'Family history', 'SEX']",0.7583333333333333,0.7555091564168839,0.7583333333333333,0.7566490477008654,0.7210909706274518,0.01175461841954334,SVM
"['FPG', 'HbA1c', 'Family history', 'SEX', 'AGE']",0.755,0.7522594364699628,0.755,0.7532414316847238,0.7149240226754587,0.029480155435131432,SVM
"['FPG', 'HbA1c', 'Uric acid', 'Physical activity', 'SEX']",0.7516666666666667,0.7493878860870531,0.7516666666666667,0.7503493998163671,0.7231923234470817,0.010679215956523058,SVM
"['FPG', 'HbA1c', 'Smoking', 'Physical activity', 'SEX']",0.7516666666666667,0.7492045607243877,0.7516666666666667,0.7502556867413557,0.7219860371932646,0.011353553623404945,SVM
"['FPG', 'HbA1c', 'Drinking', 'Family history', 'SEX']",0.75,0.7553477358323897,0.75,0.7521551828402137,0.7599098069769361,0.015993985921974225,RF
"['FPG', 'HbA1c', 'Drinking', 'Physical activity', 'SEX']",0.75,0.7468774768989979,0.75,0.7480642673377131,0.7267921093219396,0.010136868045845257,SVM
"['FPG', 'HbA1c', 'Uric acid', 'SEX', 'AGE']",0.7483333333333333,0.7455374344157989,0.7483333333333333,0.7466707481757371,0.7155271241585102,0.02823825653546565,SVM
"['FPG', 'HbA1c', 'Family history', 'SEX', 'AGE']",0.7483333333333333,0.7473483594635529,0.7483333333333333,0.7474858317810945,0.7016544498732891,0.037740548901287405,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'Physical activity', 'SEX']",0.7466666666666667,0.7530536817211234,0.7466666666666667,0.7490633369591797,0.7669340694452962,0.014790010006952794,RF
"['FPG', 'HbA1c', 'Uric acid', 'Physical activity', 'SEX']",0.7466666666666667,0.7467121083967694,0.7466666666666667,0.7466801331687427,0.7362293418074797,0.014288383470417774,XGB
"['FPG', 'HbA1c', 'Smoking', 'Physical activity', 'SEX']",0.7466666666666667,0.7470143755882798,0.7466666666666667,0.7468182387004,0.7373774023773343,0.01482689609068828,XGB
"['FPG', 'HbA1c', 'Drinking', 'Family history', 'SEX']",0.7466666666666667,0.7439884166226877,0.7466666666666667,0.7450608188728274,0.7242236070697641,0.009871256243817544,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'Physical activity', 'SEX']",0.745,0.7418898174995735,0.745,0.7430736405960604,0.7238150089004279,0.010229276276059364,SVM
"['FPG', 'HbA1c', 'Physical activity', 'Family history', 'SEX']",0.745,0.7461694809255786,0.745,0.7455005990519351,0.7349646102929986,0.01408571627009565,XGB
"['FPG', 'HbA1c', 'Uric acid', 'SEX', 'AGE']",0.745,0.7578276285978441,0.745,0.7492349475123088,0.7413293022079575,0.03906738904442357,RF
"['FPG', 'HbA1c', 'Drinking', 'Physical activity', 'SEX']",0.7433333333333333,0.7437950338918274,0.7433333333333333,0.7434496552884462,0.7370271623951428,0.013420908155640123,XGB
"['FPG', 'HbA1c', 'Family history', 'SEX', 'AGE']",0.7433333333333333,0.7539875068048455,0.7433333333333333,0.747175809939392,0.7321841029496723,0.0403748332070754,RF
"['FPG', 'HbA1c', 'Uric acid', 'Smoking', 'AGE']",0.7433333333333333,0.7393822212470317,0.7433333333333333,0.7406325774525144,0.7167337397773794,0.030900769506944495,SVM
"['FPG', 'HbA1c', 'Uric acid', 'Smoking', 'AGE']",0.7416666666666667,0.7507442189612539,0.7416666666666667,0.7450077649687606,0.7435085555411696,0.0396668854961649,RF
"['FPG', 'HbA1c', 'Uric acid', 'SEX', 'AGE']",0.7416666666666667,0.7401211361737677,0.7416666666666667,0.7406139253700229,0.704417591728167,0.039073204424838665,XGB
