Features,Accuracy,Precision,Recall,F1-score,CV_Accuracy,CV_Accuracy_std,Model
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.7466666666666667,0.7444019781917399,0.7466666666666667,0.7451816435382387,0.7133097477669427,0.03962592383249711,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Physical activity', 'SEX', 'AGE']",0.7466666666666667,0.7455394123690708,0.7466666666666667,0.7457883901218514,0.7110331348814248,0.03977046149351006,XGB
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Smoking', 'Drinking', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.745,0.7425936615031877,0.745,0.7434640468710118,0.7144188296864671,0.038489883248460616,XGB
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.7433333333333333,0.740310705554608,0.7433333333333333,0.7414517572748306,0.7238552368664739,0.029109725424957367,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Smoking', 'Drinking', 'Family history', 'SEX', 'AGE']",0.7433333333333333,0.7490803533905633,0.7433333333333333,0.7456882163263733,0.7509802812550399,0.03775984340368018,RF
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.7433333333333333,0.7401330731630757,0.7433333333333333,0.7410577610021416,0.7123562700127126,0.038046383456206666,XGB
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Drinking', 'Family history', 'SEX', 'AGE']",0.7433333333333333,0.7412562828692074,0.7433333333333333,0.7419193444136918,0.7145550164568951,0.039115594170560535,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'Uric acid', 'Smoking', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.7433333333333333,0.7419268602252896,0.7433333333333333,0.7424007049402093,0.7120644450047436,0.03953838822186328,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Family history', 'SEX', 'AGE']",0.7416666666666667,0.7396898090618779,0.7416666666666667,0.7404418330669428,0.7224348103273737,0.029149741931717973,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Family history', 'SEX', 'AGE']",0.7416666666666667,0.7394619325931135,0.7416666666666667,0.7401226639963733,0.7121422054435336,0.03791445197242849,XGB
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Drinking', 'Family history', 'SEX', 'AGE']",0.7416666666666667,0.7390195785733311,0.7416666666666667,0.7399512062714448,0.7256647646781347,0.029334842390021782,SVM
"['FPG', 'HbA1c', 'BMI', 'r-GTP gamma', 'Smoking', 'Drinking', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.74,0.7373775424485363,0.74,0.7382969465526691,0.7266183370774947,0.030543081891161825,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'Uric acid', 'Smoking', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.74,0.7369021581001495,0.74,0.7380830138544076,0.7201385983283399,0.028689920762710742,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Drinking', 'SEX', 'AGE']",0.7383333333333333,0.7358538120032372,0.7383333333333333,0.7368214248772093,0.7258009552343679,0.02928153785317942,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Physical activity', 'SEX', 'AGE']",0.7383333333333333,0.7358106297558743,0.7383333333333333,0.7367433691853567,0.7185623556188543,0.03191865409868255,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.7366666666666667,0.7344760374115942,0.7366666666666667,0.7352839263122105,0.7218899193850641,0.028301592707725483,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Drinking', 'Family history', 'AGE']",0.7366666666666667,0.7337259726802611,0.7366666666666667,0.7347397366758792,0.7261901625094742,0.030363654423960013,SVM
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Smoking', 'Family history', 'SEX', 'AGE']",0.7366666666666667,0.7433847349029101,0.7366666666666667,0.7392495411472677,0.7531788459805728,0.0365848088732188,RF
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Uric acid', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.7366666666666667,0.7414229223559853,0.7366666666666667,0.7385612089910114,0.7523617215721995,0.03777015143278703,RF
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'r-GTP gamma', 'Smoking', 'Drinking', 'Family history', 'SEX', 'AGE']",0.7366666666666667,0.7349361644726925,0.7366666666666667,0.7355500242768624,0.7120449821802148,0.03828675835354213,XGB
