Features,Accuracy,Precision,Recall,F1-score,CV_Accuracy,CV_Accuracy_std,Model
"['FPG', 'HbA1c', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.755,0.7520451033901537,0.755,0.7531435600367049,0.7179984750776659,0.030394576322445188,SVM
"['FPG', 'HbA1c', 'Smoking', 'Physical activity', 'Family history', 'SEX']",0.7533333333333333,0.7505791176971555,0.7533333333333333,0.751730015745038,0.7227255753098871,0.012689807880352896,SVM
"['FPG', 'HbA1c', 'Smoking', 'Family history', 'SEX', 'AGE']",0.75,0.7470946804750194,0.75,0.7482299648393578,0.71502129136844,0.029288868850117486,SVM
"['FPG', 'HbA1c', 'BMI', 'Smoking', 'SEX', 'AGE']",0.75,0.7576987493180934,0.75,0.7529642912856735,0.7426523161934789,0.03880056280041237,RF
"['FPG', 'HbA1c', 'Smoking', 'Physical activity', 'Family history', 'SEX']",0.7483333333333333,0.7562924522792582,0.7483333333333333,0.7513987607881358,0.7592482564474156,0.016566938461840666,RF
"['FPG', 'HbA1c', 'Smoking', 'Physical activity', 'Family history', 'SEX']",0.7466666666666667,0.7475003606050828,0.7466666666666667,0.7470148435060715,0.7363267354320323,0.014513469950622622,XGB
"['FPG', 'HbA1c', 'Smoking', 'Family history', 'SEX', 'AGE']",0.7466666666666667,0.7563908800904994,0.7466666666666667,0.7502091208941319,0.7316002712150845,0.040423589938342566,RF
"['FPG', 'HbA1c', 'BMI', 'Physical activity', 'SEX', 'AGE']",0.745,0.7551567148088629,0.745,0.7486271397547334,0.7410567090903998,0.03754533912962523,RF
"['FPG', 'HbA1c', 'Triglyceride', 'Uric acid', 'SEX', 'AGE']",0.745,0.7534391534391535,0.745,0.7481386392811297,0.7462713907458264,0.0373612272237852,RF
"['FPG', 'HbA1c', 'BMI', 'Physical activity', 'SEX', 'AGE']",0.745,0.7444667564656656,0.745,0.7445411024380172,0.7057212299626795,0.039350295655304665,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'BMI', 'SEX', 'AGE']",0.745,0.7438964121697158,0.745,0.744189898988004,0.7088927731250232,0.03833263194308642,XGB
"['FPG', 'HbA1c', 'Physical activity', 'Family history', 'SEX', 'AGE']",0.745,0.7443875333130181,0.745,0.7444124689411946,0.7030750089155713,0.03881671400342865,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'Family history', 'SEX', 'AGE']",0.745,0.7537381584880857,0.745,0.7481727033051391,0.7409205942502706,0.03779066775618183,RF
"['FPG', 'HbA1c', 'BMI', 'Uric acid', 'SEX', 'AGE']",0.745,0.7428167908314345,0.745,0.7434634398591631,0.7089901251057186,0.0389990633199498,XGB
"['FPG', 'HbA1c', 'Smoking', 'Family history', 'SEX', 'AGE']",0.7433333333333333,0.7425624300453862,0.7433333333333333,0.7427546495446139,0.7021214403020164,0.03790473100762453,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'Family history', 'SEX', 'AGE']",0.7433333333333333,0.7403279692679752,0.7433333333333333,0.7415175354465159,0.7148071927270139,0.028698593750846976,SVM
"['FPG', 'HbA1c', 'BMI', 'Family history', 'SEX', 'AGE']",0.7416666666666667,0.7407504257704092,0.7416666666666667,0.7410466932186026,0.7057017747097613,0.0395006792983344,XGB
"['FPG', 'HbA1c', 'BMI', 'Smoking', 'SEX', 'AGE']",0.7416666666666667,0.7405639098843338,0.7416666666666667,0.7408588528898192,0.7071222126062771,0.039519742546311735,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'Family history', 'SEX', 'AGE']",0.7416666666666667,0.7410716433709433,0.7416666666666667,0.741089728652865,0.7038919932491522,0.0372634214821203,XGB
"['FPG', 'HbA1c', 'Triglyceride', 'Uric acid', 'SEX', 'AGE']",0.7416666666666667,0.7395379871995296,0.7416666666666667,0.7403664182856456,0.7064021903154559,0.03909500208581185,XGB
